champion,games,winrate
Alistar,51,68.63
Syndra,72,59.72
JarvanIV,55,58.18
Akali,62,58.06
Jayce,69,57.97
Karma,57,57.89
Vayne,56,55.36
Rell,53,54.72
MonkeyKing,50,54.0
Thresh,50,52.0
Rakan,50,52.0
Graves,58,51.72
Nautilus,103,51.46
Ezreal,94,51.06
Hwei,55,50.91
