champion,games,avg_kda
Shyvana,15,8.28
Milio,11,7.64
RekSai,34,7.56
Ivern,16,7.36
AurelionSol,23,7.1
Taric,18,6.88
JarvanIV,55,6.38
Skarner,22,5.76
Alistar,51,5.42
Udyr,17,5.39
